question,answer,context
가계부실위험지수(HDRI),"가구의 소득 흐름은 물론 금융 및 실물 자산까지 종합적으로 고려하여 가계부채의 부실위험을 평가하는 지표로, 가계의 채무상환능력을 소득 측면에서 평가하는 원리금상환비율(DSR; Debt Service Ratio)과 자산 측면에서 평가하는 부채/자산비율(DTA; Debt To Asset Ratio)을 결합하여 산출한 지수이다. 가계부실위험지수는 가구의 DSR과 DTA가 각각 40%, 100%일 때 100의 값을 갖도록 설정되어 있으며, 동 지수가 100을 초과하는 가구를 ‘위험가구’로 분류한다. 위험가구는 소득 및 자산 측면에서 모두 취약한 ‘고위험가구’, 자산 측면에서 취약한 ‘고DTA가구’, 소득 측면에서 취약한 ‘고DSR가구’로 구분할 수 있다. 다만 위험 및 고위험 가구는 가구의 채무상환능력 취약성 정도를 평가하기 위한 것이며 이들 가구가 당장 채무상환 불이행, 즉 임계상황에 직면한 것을 의미하지 않는다.

연관검색어 : 총부채원리금상환비율(DSR)","가계부실위험지수(HDRI) 가구의 소득 흐름은 물론 금융 및 실물 자산까지 종합적으로 고려하여 가계부채의 부실위험을 평가하는 지표로, 가계의 채무상환능력을 소득 측면에서 평가하는 원리금상환비율(DSR; Debt Service Ratio)과 자산 측면에서 평가하는 부채/자산비율(DTA; Debt To Asset Ratio)을 결합하여 산출한 지수이다. 가계부실위험지수는 가구의 DSR과 DTA가 각각 40%, 100%일 때 100의 값을 갖도록 설정되어 있으며, 동 지수가 100을 초과하는 가구를 ‘위험가구’로 분류한다. 위험가구는 소득 및 자산 측면에서 모두 취약한 ‘고위험가구’, 자산 측면에서 취약한 ‘고DTA가구’, 소득 측면에서 취약한 ‘고DSR가구’로 구분할 수 있다. 다만 위험 및 고위험 가구는 가구의 채무상환능력 취약성 정도를 평가하기 위한 것이며 이들 가구가 당장 채무상환 불이행, 즉 임계상황에 직면한 것을 의미하지 않는다.

연관검색어 : 총부채원리금상환비율(DSR)"
가계수지,"가정에서 일정 기간의 수입(명목소득)과 지출을 비교해서 남았는지 모자랐는지를 표시한 것을 가계수지(household's total income and expenditure)라 한다. 가계수지가

#흑자를 냈다면 그 가정은 벌어들인 수입 일부만을 사용했다는 것을 의미하며, 적자를 냈다면 수입 외에 빚을 추가로 얻어 사용한 것이라고 보아야 한다. 우리나라는 통계청에서 가계의 수입과 지출을 조사하여 국민의 소득수준 및 생활실태를 파악하기 위해 표본으로 선정된 가계에 가계부를 나누어 주고 한 달간의 소득과 지출을 기록하도록 한 다음 이를 토대로 가계수지 통계를 작성하여 발표하고 있다. 가계부의 소득항목에는 근로소득･사업소득･재산소득･이전소득 항목이 있고, 비용항목에는 식료품비･주거비･수도광열비･보건의료비･교육비 항목이 있다.

연관검색어 : 경상수지, 재정수지","가계수지 가정에서 일정 기간의 수입(명목소득)과 지출을 비교해서 남았는지 모자랐는지를 표시한 것을 가계수지(household's total income and expenditure)라 한다. 가계수지가

#흑자를 냈다면 그 가정은 벌어들인 수입 일부만을 사용했다는 것을 의미하며, 적자를 냈다면 수입 외에 빚을 추가로 얻어 사용한 것이라고 보아야 한다. 우리나라는 통계청에서 가계의 수입과 지출을 조사하여 국민의 소득수준 및 생활실태를 파악하기 위해 표본으로 선정된 가계에 가계부를 나누어 주고 한 달간의 소득과 지출을 기록하도록 한 다음 이를 토대로 가계수지 통계를 작성하여 발표하고 있다. 가계부의 소득항목에는 근로소득･사업소득･재산소득･이전소득 항목이 있고, 비용항목에는 식료품비･주거비･수도광열비･보건의료비･교육비 항목이 있다.

연관검색어 : 경상수지, 재정수지"
가계순저축률,"일반적으로 저축률은 저축액을 처분가능소득으로 나눈 비율을 말한다. 마찬가지로 가계순저축률은 가계부문의 순저축액을 가계순처분가능소득과 정부로부터 받은 사회적 현물이전 금액, 연금기금의 가계순지분 증감조정액을 합계한 금액으로 나눈 비율이다. 여기서 사회적 현물이전(social transfer in kind)이란 정부 등이 가계에 현물이전의 형태로 제공하는 재화 및 서비스로서 무상교육, 보건소의 무상진료 등이 해당된다. 또한 연금기금의 가계순지분 증감조정액을 분모에 더하는 이유는 퇴직연금 등과 같이 가계가 납부한 연금부담금과 연금수취액의 차액을 반영해야 가계부문의 저축액을 정확히 구할 수 있기 때문이다. 가계순저축률은 가계부문의 저축성향을 가장 잘 나타내주는 지표라고 할 수 있다.

| 가계순저축률           | 가계부문순저축 | 가계순처분가능소득 | 사회적현물이전수취 |
| ---------------- | ------- | --------- | --------- |
| 연금기금의가계순지분증감조정 × |         |           |           |

연관검색어 : 가계처분가능소득, 저축률/총저축/평균소비성향/평균저축성향","가계순저축률 일반적으로 저축률은 저축액을 처분가능소득으로 나눈 비율을 말한다. 마찬가지로 가계순저축률은 가계부문의 순저축액을 가계순처분가능소득과 정부로부터 받은 사회적 현물이전 금액, 연금기금의 가계순지분 증감조정액을 합계한 금액으로 나눈 비율이다. 여기서 사회적 현물이전(social transfer in kind)이란 정부 등이 가계에 현물이전의 형태로 제공하는 재화 및 서비스로서 무상교육, 보건소의 무상진료 등이 해당된다. 또한 연금기금의 가계순지분 증감조정액을 분모에 더하는 이유는 퇴직연금 등과 같이 가계가 납부한 연금부담금과 연금수취액의 차액을 반영해야 가계부문의 저축액을 정확히 구할 수 있기 때문이다. 가계순저축률은 가계부문의 저축성향을 가장 잘 나타내주는 지표라고 할 수 있다.

| 가계순저축률           | 가계부문순저축 | 가계순처분가능소득 | 사회적현물이전수취 |
| ---------------- | ------- | --------- | --------- |
| 연금기금의가계순지분증감조정 × |         |           |           |

연관검색어 : 가계처분가능소득, 저축률/총저축/평균소비성향/평균저축성향"
가계신용통계,"가계신용통계는 가계부문에 대한 신용공급 규모를 나타내는 통계이다. 가계신용은 금융기관뿐 아니라 정부, 판매회사 등 기타기관이 가계에 제공한 대출과 외상구매 관련

신용을 모두 포괄하는 것으로 크게 가계대출과 판매신용으로 구분된다. 현재 가계신용통계는 2002년 말 잔액부터 분기별로 제공되고 있다. 가계신용통계는 우리나라 가계부문의 부채 규모 및 변동 등을 파악하는 데 널리 활용되고 있다.","가계신용통계 가계신용통계는 가계부문에 대한 신용공급 규모를 나타내는 통계이다. 가계신용은 금융기관뿐 아니라 정부, 판매회사 등 기타기관이 가계에 제공한 대출과 외상구매 관련

신용을 모두 포괄하는 것으로 크게 가계대출과 판매신용으로 구분된다. 현재 가계신용통계는 2002년 말 잔액부터 분기별로 제공되고 있다. 가계신용통계는 우리나라 가계부문의 부채 규모 및 변동 등을 파악하는 데 널리 활용되고 있다."
가계처분가능소득,"가계처분가능소득(PDI; Personal Disposable Income)은 가계가 맘대로 소비와 저축으로 처분할 수 있는 소득을 의미한다. 흔히 국민들의 생활수준을 파악해 볼 수 있는 지표로 1인당 GNI가 널리 쓰이고 있으나 국민총소득에는 가계 뿐 아니라 기업 금융기관 정부가 벌어 들인 소득이 모두 포함되어 있다. 따라서 기업과 금융기관 등이 가계부문보다 더 많은 소득을 벌어 1인당 국민총소득(GNI)이 높아진 경우에는 가계가 느끼는 체감경기는 전체 경기와 괴리가 있게 된다. 1인당 가계총처분가능소득(PGDI; Personal Gross Disposable Income)은 가계부문의 총처분가능소득을 연앙인구로 나누어 계산한 지표로 가계의 구매력을 가장 정확히 가늠해 볼 수 있는 소득지표이다.

연관검색어 : 국민총소득(GNI)","가계처분가능소득 가계처분가능소득(PDI; Personal Disposable Income)은 가계가 맘대로 소비와 저축으로 처분할 수 있는 소득을 의미한다. 흔히 국민들의 생활수준을 파악해 볼 수 있는 지표로 1인당 GNI가 널리 쓰이고 있으나 국민총소득에는 가계 뿐 아니라 기업 금융기관 정부가 벌어 들인 소득이 모두 포함되어 있다. 따라서 기업과 금융기관 등이 가계부문보다 더 많은 소득을 벌어 1인당 국민총소득(GNI)이 높아진 경우에는 가계가 느끼는 체감경기는 전체 경기와 괴리가 있게 된다. 1인당 가계총처분가능소득(PGDI; Personal Gross Disposable Income)은 가계부문의 총처분가능소득을 연앙인구로 나누어 계산한 지표로 가계의 구매력을 가장 정확히 가늠해 볼 수 있는 소득지표이다.

연관검색어 : 국민총소득(GNI)"
가교은행,"청산 대상 금융기관의 자산, 부채를 임시로 넘겨받아 예금, 출금 등의 업무를 대행하고 합병, 채권채무관계 조정 등 후속조치를 수행하는 은행을 말한다. 금융기관이 파산한 경우 예금보험제도는 청산, 매각, 자산부채승계, 가교은행을 통한 인수 등의 수단을 통해 부실 금융기관을 처리한다. 이 중 가교은행을 통한 인수방식은 파산은행의 처리에 상당한 시간이 소요될 것으로 예상할 경우 사용되며 새로운 은행을 설립하여 자산, 부채를 포괄승계하도록 하고, 인수 희망자를 물색하는 등의 조치를 취하게 된다. 가교은행을 이용한 처리방식은 금융기관 파산에 따른 충격을 완화하고 시간적인 여유를 확보할 수 있는 것이 장점이다. 임무를 마치면 정리대상 금융기관과 마찬가지로 없어지는 한시적 기관이다.","가교은행 청산 대상 금융기관의 자산, 부채를 임시로 넘겨받아 예금, 출금 등의 업무를 대행하고 합병, 채권채무관계 조정 등 후속조치를 수행하는 은행을 말한다. 금융기관이 파산한 경우 예금보험제도는 청산, 매각, 자산부채승계, 가교은행을 통한 인수 등의 수단을 통해 부실 금융기관을 처리한다. 이 중 가교은행을 통한 인수방식은 파산은행의 처리에 상당한 시간이 소요될 것으로 예상할 경우 사용되며 새로운 은행을 설립하여 자산, 부채를 포괄승계하도록 하고, 인수 희망자를 물색하는 등의 조치를 취하게 된다. 가교은행을 이용한 처리방식은 금융기관 파산에 따른 충격을 완화하고 시간적인 여유를 확보할 수 있는 것이 장점이다. 임무를 마치면 정리대상 금융기관과 마찬가지로 없어지는 한시적 기관이다."
가동률,"생산능력 대비 생산실적의 백분율(생산실적/생산능력×100)로, 생산설비가 어느 정도

#이용되는지를 나타내는 경제지표이다. 여기서 생산능력이란 사업체가 정상적인 설비, 인력, 조업시간 등 조업환경 하에서 생산할 때 최대 생산 가능량(적정생산능력)을 의미한다. 생산설비의 가동상황인 가동률은 경기의 단면을 보여주는 좋은 지표가 될 수 있는데, 이는 기업들이 앞으로의 경기 예상에 따라 가동률을 높이거나 낮추는 방법으로 생산량을 조절하기 때문이다. 다만 가동률이 높다고 무조건 좋은 것은 아닌데, 이는 경기가 침체된 상황에서 높은 가동률은 앞으로 경기가 회복될 것이라는 희망적인 신호로 인식되지만 경기가 활황세인 상황에서 지나치게 높은 가동률은 오히려 인플레이션 우려를 크게 하기 때문이다. 우리나라의 경우 제조업 생산능력 및 가동률지수는 매월 통계청이 산출·발표하고 있는데, 이들 지수는 공급능력과 설비가동의 절대수준을 나타내는 것이 아니라 기준년도의 생산능력과 가동률을 100으로 하였을 때 비교시의 공급능력과 가동상태가 어느 수준인가를 나타낸다. 제조업 평균가동률은 제조업체의 생산설비 이용도를 보여주는 지표로서 기준연도의 제조업 평균가동률에 비교시점의 가동률지수(계절조정)를 곱하여 산출한다.

연관검색어 : 제조업평균가동률갭","가동률 생산능력 대비 생산실적의 백분율(생산실적/생산능력×100)로, 생산설비가 어느 정도

#이용되는지를 나타내는 경제지표이다. 여기서 생산능력이란 사업체가 정상적인 설비, 인력, 조업시간 등 조업환경 하에서 생산할 때 최대 생산 가능량(적정생산능력)을 의미한다. 생산설비의 가동상황인 가동률은 경기의 단면을 보여주는 좋은 지표가 될 수 있는데, 이는 기업들이 앞으로의 경기 예상에 따라 가동률을 높이거나 낮추는 방법으로 생산량을 조절하기 때문이다. 다만 가동률이 높다고 무조건 좋은 것은 아닌데, 이는 경기가 침체된 상황에서 높은 가동률은 앞으로 경기가 회복될 것이라는 희망적인 신호로 인식되지만 경기가 활황세인 상황에서 지나치게 높은 가동률은 오히려 인플레이션 우려를 크게 하기 때문이다. 우리나라의 경우 제조업 생산능력 및 가동률지수는 매월 통계청이 산출·발표하고 있는데, 이들 지수는 공급능력과 설비가동의 절대수준을 나타내는 것이 아니라 기준년도의 생산능력과 가동률을 100으로 하였을 때 비교시의 공급능력과 가동상태가 어느 수준인가를 나타낸다. 제조업 평균가동률은 제조업체의 생산설비 이용도를 보여주는 지표로서 기준연도의 제조업 평균가동률에 비교시점의 가동률지수(계절조정)를 곱하여 산출한다.

연관검색어 : 제조업평균가동률갭"
가변예치의무제도,"국경간 자본유출입은 기업의 자금조달 비용을 낮추어 투자를 활성화하는 긍정적인 측면도 있지만, 단기간에 대규모로 이루어질 경우 환율 또는 증권가격의 급등락을 불러와 경제 안정을 해칠 수도 있다. 이러한 부작용을 완화하기 위한 제도의 하나가 가변예치의무제도이다. 동 제도는 외국으로부터 유입된 자금에 대해 일정 비율의 예치의무를 부과함으로써 국경간 자본 유출입의 규모와 속도를 조절하는 수단이다. 우리나라는 외국환거래법에서 국제수지 및 국제금융 상 심각한 어려움에 처하는 경우와 통화정책·환율정책 및 기타 거시경제정책에 심각한 지장을 초래하는 경우에는 기획재정부장관이 해당 자본 거래와 관련하여 취득하는 지급수단의 일부를 한국은행·외국환평형기금 또는 금융회사 등에 예치하도록 하는 의무를 부과할 수 있다고 규정하고 있다. 다만, 이러한 조치는 특별한 사유가 없는 한 6개월 범위 내에서만 행할 수 있고 그 조치사유가 소멸된 경우에는 즉시 해제하여야 하며 외국인직접투자에 대해서는 적용되지 않는다.

연관검색어 : 외국환평형기금","가변예치의무제도 국경간 자본유출입은 기업의 자금조달 비용을 낮추어 투자를 활성화하는 긍정적인 측면도 있지만, 단기간에 대규모로 이루어질 경우 환율 또는 증권가격의 급등락을 불러와 경제 안정을 해칠 수도 있다. 이러한 부작용을 완화하기 위한 제도의 하나가 가변예치의무제도이다. 동 제도는 외국으로부터 유입된 자금에 대해 일정 비율의 예치의무를 부과함으로써 국경간 자본 유출입의 규모와 속도를 조절하는 수단이다. 우리나라는 외국환거래법에서 국제수지 및 국제금융 상 심각한 어려움에 처하는 경우와 통화정책·환율정책 및 기타 거시경제정책에 심각한 지장을 초래하는 경우에는 기획재정부장관이 해당 자본 거래와 관련하여 취득하는 지급수단의 일부를 한국은행·외국환평형기금 또는 금융회사 등에 예치하도록 하는 의무를 부과할 수 있다고 규정하고 있다. 다만, 이러한 조치는 특별한 사유가 없는 한 6개월 범위 내에서만 행할 수 있고 그 조치사유가 소멸된 경우에는 즉시 해제하여야 하며 외국인직접투자에 대해서는 적용되지 않는다.

연관검색어 : 외국환평형기금"
가산금리,"기준금리에 신용도 등의 차이에 따라 달리 덧붙이는 금리를 가산금리(또는 스프레드, spread)라고 한다. 예를 들어 은행이 대출금리를 결정할 때 고객의 신용위험에 따라 조달금리에 추가하는 금리를 말한다. 한편 만기가 길어지면 추가로 가산되는 금리를 기간 가산금리(텀스프레드, term spread)라고 하는데 이것도 일종의 스프레드이다. 통상 신용도가 높으면 가산금리가 낮고, 신용도가 낮으면 가산금리 즉 스프레드는 커진다. 한편 채권시장에서는 비교대상이 되는 금융상품의 기준금리에 대비한 차이를 스프레드라고 한다. 보통 해외에서 채권을 발행할 때 동일한 만기의 미국 국채(Treasury Bond)나 리보(LIBOR, 런던은행간금리)가 기준금리가 되고 여기에 신용도 등에 따라 가산금리가 붙어서 발행되는게 보통이다. 실제로 우리나라는 지난 1997년 외환위기 당시에 해외에서 기채할 때 높은 가산금리를 지불한 경험이 있다. 기준금리와의 차이를 나타내는 가산금리 또는 스프레드는 보통 베이시스 포인트(bp, basis point)로 나타내는데 예를 들면 0.5%의 금리격차를 50bp로 표기하고 1%는 100bp로 표시된다.

연관검색어 : LIBOR, 신용스프레드","가산금리 기준금리에 신용도 등의 차이에 따라 달리 덧붙이는 금리를 가산금리(또는 스프레드, spread)라고 한다. 예를 들어 은행이 대출금리를 결정할 때 고객의 신용위험에 따라 조달금리에 추가하는 금리를 말한다. 한편 만기가 길어지면 추가로 가산되는 금리를 기간 가산금리(텀스프레드, term spread)라고 하는데 이것도 일종의 스프레드이다. 통상 신용도가 높으면 가산금리가 낮고, 신용도가 낮으면 가산금리 즉 스프레드는 커진다. 한편 채권시장에서는 비교대상이 되는 금융상품의 기준금리에 대비한 차이를 스프레드라고 한다. 보통 해외에서 채권을 발행할 때 동일한 만기의 미국 국채(Treasury Bond)나 리보(LIBOR, 런던은행간금리)가 기준금리가 되고 여기에 신용도 등에 따라 가산금리가 붙어서 발행되는게 보통이다. 실제로 우리나라는 지난 1997년 외환위기 당시에 해외에서 기채할 때 높은 가산금리를 지불한 경험이 있다. 기준금리와의 차이를 나타내는 가산금리 또는 스프레드는 보통 베이시스 포인트(bp, basis point)로 나타내는데 예를 들면 0.5%의 금리격차를 50bp로 표기하고 1%는 100bp로 표시된다.

연관검색어 : LIBOR, 신용스프레드"
가상통화,"가상통화(virtual currency)는 중앙은행이나 금융기관이 아닌 민간에서 블록체인을 기반 기술로 하여 발행･유통되는 ‘가치의 전자적 표시’(digital representation of value)로서 비트코인이 가장 대표적인 가상통화이다. 비트코인 등장 이전에는 특별한 법적 근거 없이 민간 기업이 발행하고 인터넷공간에서 사용되는 사이버머니(게임머니 등)나 온･오프라인에서 사용되고 있는 각종 포인트를 가상통화로 통칭하였다. 그러나 2009년 비트코인이 등장하면서 가상통화의 개념이 변화되고 있다. 비트코인은 블록체인기술을 기반으로 하여 중앙운영 기관 없이 P2P(peer-to-peer) 거래가 가능한 분산형 시스템을 통해 발행･유통된다는 점에서 발행기관이 중앙에서 발행･유통을 통제하는 기존의 사이버머니나 멤버십 포인트 등과 기반이 완전히 상이하기 때문이다. 현재 비트코인 거래가 크게 늘어나고 가격도 급등한 가운데 비트코인 이외에 많은 신종코인(Alt-coin)도 출현하면서 이들 가상통화를 구분할 필요성이 발생하였다. 이에 따라 최근 IMF 등 국제기구에서는 비트코인류의 가상통화를 ‘암호통화’(cryptocurrency)로 부르면서 종래의 가상통화의 하위 개념으로 분류하고 있는 추세이다.

연관검색어 : 블록체인, 비트코인","가상통화 가상통화(virtual currency)는 중앙은행이나 금융기관이 아닌 민간에서 블록체인을 기반 기술로 하여 발행･유통되는 ‘가치의 전자적 표시’(digital representation of value)로서 비트코인이 가장 대표적인 가상통화이다. 비트코인 등장 이전에는 특별한 법적 근거 없이 민간 기업이 발행하고 인터넷공간에서 사용되는 사이버머니(게임머니 등)나 온･오프라인에서 사용되고 있는 각종 포인트를 가상통화로 통칭하였다. 그러나 2009년 비트코인이 등장하면서 가상통화의 개념이 변화되고 있다. 비트코인은 블록체인기술을 기반으로 하여 중앙운영 기관 없이 P2P(peer-to-peer) 거래가 가능한 분산형 시스템을 통해 발행･유통된다는 점에서 발행기관이 중앙에서 발행･유통을 통제하는 기존의 사이버머니나 멤버십 포인트 등과 기반이 완전히 상이하기 때문이다. 현재 비트코인 거래가 크게 늘어나고 가격도 급등한 가운데 비트코인 이외에 많은 신종코인(Alt-coin)도 출현하면서 이들 가상통화를 구분할 필요성이 발생하였다. 이에 따라 최근 IMF 등 국제기구에서는 비트코인류의 가상통화를 ‘암호통화’(cryptocurrency)로 부르면서 종래의 가상통화의 하위 개념으로 분류하고 있는 추세이다.

연관검색어 : 블록체인, 비트코인"
